"name","link","image_path","category"
"Nike Football Academy 23 t-shirt in charcoal and green","https://www.asos.com/nike-football/nike-football-academy-23-t-shirt-in-charcoal-and-green/prd/206615126#colourWayId-206615127","https://images.asos-media.com/products/nike-football-academy-23-t-shirt-in-charcoal-and-green/206615126-1-charcoal","Top"
"Nike Running Air Zoom Pegasus 41 trainers in grey","https://www.asos.com/nike-running/nike-running-air-zoom-pegasus-41-trainers-in-grey/prd/206617139#colourWayId-206617141","https://images.asos-media.com/products/nike-running-air-zoom-pegasus-41-trainers-in-grey/206617139-1-grey","Shoes"
"Nike Training Dri-Fit Unlimited woven 7 inch shorts in khaki","https://www.asos.com/nike-training/nike-training-dri-fit-unlimited-woven-7-inch-shorts-in-khaki/prd/206621662#colourWayId-206621663","https://images.asos-media.com/products/nike-training-dri-fit-unlimited-woven-7-inch-shorts-in-khaki/206621662-1-khaki","Others"
"Nike Training Metcon 9 trainers in black and brown","https://www.asos.com/nike-training/nike-training-metcon-9-trainers-in-black-and-brown/prd/206621730#colourWayId-206621731","https://images.asos-media.com/products/nike-training-metcon-9-trainers-in-black-and-brown/206621730-1-black","Shoes"
"Nike Zoom Vomero 5 suede unisex trainers in blue and white","https://www.asos.com/nike/nike-zoom-vomero-5-suede-unisex-trainers-in-blue-and-white/prd/206622662#colourWayId-206622663","https://images.asos-media.com/products/nike-zoom-vomero-5-suede-unisex-trainers-in-blue-and-white/206622662-1-lightblue","Shoes"
"Carhartt WIP long sleeve tracker shirt in khaki","https://www.asos.com/carhartt-wip/carhartt-wip-long-sleeve-tracker-shirt-in-khaki/prd/206638845#colourWayId-206638853","https://images.asos-media.com/products/carhartt-wip-long-sleeve-tracker-shirt-in-khaki/206638845-1-khaki","Top"
"ON Cloudrift all day trainers in white grey and green","https://www.asos.com/on-running/on-cloudrift-all-day-trainers-in-white-grey-and-green/prd/206864140#colourWayId-206864158","https://images.asos-media.com/products/on-cloudrift-all-day-trainers-in-white-grey-and-green/206864140-1-whitegreyandgreen","Shoes"
"ASOS DESIGN lace up worker boots in black leather with shearling lining","https://www.asos.com/asos-design/asos-design-lace-up-worker-boots-in-black-leather-with-shearling-lining/prd/206888970#colourWayId-206888971","https://images.asos-media.com/products/asos-design-lace-up-worker-boots-in-black-leather-with-shearling-lining/206888970-1-black","Shoes"
"ASOS DESIGN boxy quilted overshirt in navy","https://www.asos.com/asos-design/asos-design-boxy-quilted-overshirt-in-navy/prd/207018267#colourWayId-207018271","https://images.asos-media.com/products/asos-design-boxy-quilted-overshirt-in-navy/207018267-1-navy","Top"
"ASOS DESIGN smart wide leg elasticated hem trousers in black","https://www.asos.com/asos-design/asos-design-smart-wide-leg-elasticated-hem-trousers-in-black/prd/207028026#colourWayId-207028030","https://images.asos-media.com/products/asos-design-smart-wide-leg-elasticated-hem-trousers-in-black/207028026-1-black","Bottom"
"ASOS DESIGN crop relaxed revere cord shirt with chest embroidery in brown","https://www.asos.com/asos-design/asos-design-crop-relaxed-revere-cord-shirt-with-chest-embroidery-in-brown/prd/207069339#colourWayId-207069348","https://images.asos-media.com/products/asos-design-crop-relaxed-revere-cord-shirt-with-chest-embroidery-in-brown/207069339-1-brown","Top"
"ASOS DESIGN boxy oversized denim shirt in ecru","https://www.asos.com/asos-design/asos-design-boxy-oversized-denim-shirt-in-ecru/prd/207076288#colourWayId-207076289","https://images.asos-media.com/products/asos-design-boxy-oversized-denim-shirt-in-ecru/207076288-1-ecru","Top"
"Lacoste storm 96 trainer in off white/green","https://www.asos.com/lacoste/lacoste-storm-96-trainer-in-off-white-green/prd/207091478#colourWayId-207091479","https://images.asos-media.com/products/lacoste-storm-96-trainer-in-off-white-green/207091478-1-white","Shoes"
"ASOS DESIGN wide leg twill jersey joggers with pintucks in washed black","https://www.asos.com/asos-design/asos-design-wide-leg-twill-jersey-joggers-with-pintucks-in-washed-black/prd/207101367#colourWayId-207101373","https://images.asos-media.com/products/asos-design-wide-leg-twill-jersey-joggers-with-pintucks-in-washed-black/207101367-1-asphalt","Others"
"ASOS DESIGN tapered washed corduroy joggers in navy","https://www.asos.com/asos-design/asos-design-tapered-washed-corduroy-joggers-in-navy/prd/207122525#colourWayId-207122526","https://images.asos-media.com/products/asos-design-tapered-washed-corduroy-joggers-in-navy/207122525-1-navy","Others"
"Alma de Ace t-shirt with logo back print in navy","https://www.asos.com/alma-de-ace/alma-de-ace-t-shirt-with-logo-back-print-in-navy/prd/207127733#colourWayId-207127734","https://images.asos-media.com/products/alma-de-ace-t-shirt-with-logo-back-print-in-navy/207127733-1-navy","Top"
"ASOS DESIGN smart oversized tapered trousers with front pleats in black & white micro check","https://www.asos.com/asos-design/asos-design-smart-oversized-tapered-trousers-with-front-pleats-in-black-white-micro-check/prd/207201259#colourWayId-207201271","https://images.asos-media.com/products/asos-design-smart-oversized-tapered-trousers-with-front-pleats-in-black-white-micro-check/207201259-1-blackwhite","Bottom"
"ASOS DESIGN pull on smart wide leg trousers with side tape in grey","https://www.asos.com/asos-design/asos-design-pull-on-smart-wide-leg-trousers-with-side-tape-in-grey/prd/207201266#colourWayId-207201275","https://images.asos-media.com/products/asos-design-pull-on-smart-wide-leg-trousers-with-side-tape-in-grey/207201266-1-grey","Bottom"
"ASOS DESIGN pull on smart tapered fit chino trousers in navy","https://www.asos.com/asos-design/asos-design-pull-on-smart-tapered-fit-chino-trousers-in-navy/prd/207201287#colourWayId-207201288","https://images.asos-media.com/products/asos-design-pull-on-smart-tapered-fit-chino-trousers-in-navy/207201287-1-navy","Bottom"
"ASOS DESIGN boxy denim overshirt in mid wash blue","https://www.asos.com/asos-design/asos-design-boxy-denim-overshirt-in-mid-wash-blue/prd/207243124#colourWayId-207243125","https://images.asos-media.com/products/asos-design-boxy-denim-overshirt-in-mid-wash-blue/207243124-1-midwash","Top"
